Obs.	statenum	casenum	vnumber	pnumber	city	county	accdate	accday	accmon	caseyear	driverdrowsy	latitude	longitude	age	airbag	prf1	prf2	prf3	restraint	body	gvwrating	vfatcount	make	model	modelyr	vrf1	vrf2	drivpres	drf1	drf2	drf3	drf4	dridistract	
18929	45	689	1	1	0	51	10012016	1	10	2016	0	33.65030000	-78.98123333	23	2	0	0	0	3	5	0	0	35	50	2014	0	0	1	38	0	0	0	96	
18930	45	694	1	1	0	73	10022016	2	10	2016	0	34.73508889	-83.07183056	39	20	0	0	0	3	6	0	0	34	34	2016	0	0	1	0	0	0	0	96	
18931	45	695	1	1	0	27	10032016	3	10	2016	0	33.59431111	-80.34166944	22	1	0	0	0	3	5	0	1	35	50	2016	0	0	1	0	0	0	0	96	
18932	45	695	2	1	0	27	10032016	3	10	2016	0	33.59431111	-80.34166944	48	1	0	0	0	99	6	0	1	35	49	2015	0	0	1	51	0	0	0	00	
18933	45	702	1	1	0	63	10082016	8	10	2016	0	34.04476111	-81.12228056	27	20	0	0	0	3	4	0	0	41	50	2008	0	0	1	38	0	0	0	96	
18934	45	702	1	2	0	63	10082016	8	10	2016	0	34.04476111	-81.12228056	28	2	0	0	0	3	4	0	0	41	50	2008	0	0	1	38	0	0	0	96	
18935	45	703	1	1	870	41	10092016	9	10	2016	0	34.20435000	-79.75988056	24	1	0	0	0	99	4	0	1	35	50	2016	0	0	1	8	28	0	0	96	
18936	45	703	2	1	870	41	10092016	9	10	2016	0	34.20435000	-79.75988056	78	8	0	0	0	3	4	0	0	42	48	2010	0	0	1	0	0	0	0	96	
18937	45	703	2	2	870	41	10092016	9	10	2016	0	34.20435000	-79.75988056	74	8	0	0	0	3	4	0	0	42	48	2010	0	0	1	0	0	0	0	96	
18938	45	706	2	1	0	77	10112016	11	10	2016	0	34.83128056	-82.50058889	21	1	0	0	0	3	4	0	1	20	22	2009	0	0	1	0	0	0	0	96	
18939	45	707	1	1	0	7	09262016	26	9	2016	0	34.51793889	-82.87095000	46	20	0	0	0	3	22	0	1	12	461	2014	0	0	1	0	0	0	0	96	
18940	45	707	1	2	0	7	09262016	26	9	2016	0	34.51793889	-82.87095000	83	20	0	0	0	3	22	0	1	12	461	2014	0	0	1	0	0	0	0	96	
18941	45	707	1	3	0	7	09262016	26	9	2016	0	34.51793889	-82.87095000	73	20	0	0	0	3	22	0	1	12	461	2014	0	0	1	0	0	0	0	96	
18942	45	707	1	4	0	7	09262016	26	9	2016	0	34.51793889	-82.87095000	80	0	0	0	0	3	22	0	1	12	461	2014	0	0	1	0	0	0	0	96	
18943	45	707	1	5	0	7	09262016	26	9	2016	0	34.51793889	-82.87095000	75	20	0	0	0	3	22	0	1	12	461	2014	0	0	1	0	0	0	0	96	
18944	45	707	1	6	0	7	09262016	26	9	2016	0	34.51793889	-82.87095000	79	20	0	0	0	3	22	0	1	12	461	2014	0	0	1	0	0	0	0	96	
18945	45	707	1	7	0	7	09262016	26	9	2016	0	34.51793889	-82.87095000	78	0	0	0	0	3	22	0	1	12	461	2014	0	0	1	0	0	0	0	96	
18946	45	707	1	8	0	7	09262016	26	9	2016	0	34.51793889	-82.87095000	83	20	0	0	0	3	22	0	1	12	461	2014	0	0	1	0	0	0	0	96	
18947	45	707	1	9	0	7	09262016	26	9	2016	0	34.51793889	-82.87095000	69	0	0	0	0	3	22	0	1	12	461	2014	0	0	1	0	0	0	0	96	
18948	45	707	1	10	0	7	09262016	26	9	2016	0	34.51793889	-82.87095000	84	0	0	0	0	3	22	0	1	12	461	2014	0	0	1	0	0	0	0	96	
18949	45	707	1	11	0	7	09262016	26	9	2016	0	34.51793889	-82.87095000	75	0	0	0	0	3	22	0	1	12	461	2014	0	0	1	0	0	0	0	96	
18950	45	707	1	12	0	7	09262016	26	9	2016	0	34.51793889	-82.87095000	46	0	0	0	0	3	22	0	1	12	461	2014	0	0	1	0	0	0	0	96	
18951	45	707	1	13	0	7	09262016	26	9	2016	0	34.51793889	-82.87095000	75	0	0	0	0	3	22	0	1	12	461	2014	0	0	1	0	0	0	0	96	
18952	45	707	2	1	0	7	09262016	26	9	2016	0	34.51793889	-82.87095000	30	20	0	0	0	3	31	0	0	12	481	2011	0	0	1	8	0	0	0	96	
18953	45	708	2	1	0	79	10122016	12	10	2016	0	34.23045000	-80.96801944	37	8	0	0	0	3	15	0	0	2	422	2016	0	0	1	0	0	0	0	96	
18954	45	711	1	1	410	19	10052016	5	10	2016	0	32.77211111	-80.00871944	58	1	0	0	0	3	14	0	0	55	401	2016	0	0	1	0	0	0	0	96	
18955	45	712	1	1	0	79	10132016	13	10	2016	0	34.14306111	-80.96483889	43	20	0	0	0	3	14	0	0	49	401	2012	0	0	1	0	0	0	0	96	
18956	45	712	3	1	0	79	10132016	13	10	2016	0	34.14306111	-80.96483889	23	20	0	0	0	3	4	0	0	37	32	2014	0	0	1	0	0	0	0	96	
18957	45	720	2	1	0	7	10162016	16	10	2016	0	34.52635000	-82.84223889	89	2	0	0	0	3	4	0	0	20	37	2013	0	0	1	38	0	0	0	96	
18958	45	720	2	2	0	7	10162016	16	10	2016	0	34.52635000	-82.84223889	85	2	0	0	0	3	4	0	0	20	37	2013	0	0	1	38	0	0	0	96	
18959	45	723	1	1	0	85	10182016	18	10	2016	0	33.82500000	-80.51361111	45	1	0	0	0	7	14	0	1	59	403	2009	0	0	1	27	0	0	0	96	
18960	45	724	1	1	0	55	10182016	18	10	2016	0	34.15358889	-80.78686111	67	8	0	0	0	3	14	0	1	37	402	2011	0	0	1	0	0	0	0	96	
18961	45	724	1	2	0	55	10182016	18	10	2016	0	34.15358889	-80.78686111	42	8	0	0	0	3	14	0	1	37	402	2011	0	0	1	0	0	0	0	96	
18962	45	724	2	1	0	55	10182016	18	10	2016	0	34.15358889	-80.78686111	42	8	0	0	0	3	14	0	0	49	402	2016	0	0	1	28	0	0	0	96	
18963	45	724	2	2	0	55	10182016	18	10	2016	0	34.15358889	-80.78686111	14	8	0	0	0	3	14	0	0	49	402	2016	0	0	1	28	0	0	0	96	
18964	45	726	2	1	0	51	10202016	20	10	2016	0	33.63663056	-78.99171111	77	2	0	0	0	3	4	0	1	18	22	2014	0	0	1	38	0	0	0	96	
