statenum,casenum,vnumber,pnumber,city,county,accdate,accday,accmon,caseyear,driverdrowsy,latitude,longitude,age,airbag,prf1,prf2,prf3,restraint,body,gvwrating,vfatcount,make,model,modelyr,vrf1,vrf2,drivpres,drf1,drf2,drf3,drf4,dridistract
1,55,1,1,1850,73,2/3/16,3,2,2016,0,33.5428,-86.55969167,31,1,0,0,0,3,4,0,0,35,47,2013,0,0,1,28,0,0,0,99
1,55,1,2,1850,73,2/3/16,3,2,2016,0,33.5428,-86.55969167,998,0,0,0,0,10,4,0,0,35,47,2013,0,0,1,28,0,0,0,99
1,55,2,1,1850,73,2/3/16,3,2,2016,0,33.5428,-86.55969167,35,8,0,0,0,3,14,0,1,20,405,2014,0,0,1,0,0,0,0,0
1,59,1,1,2100,97,2/6/16,6,2,2016,0,30.66925833,-88.10314444,64,3,0,0,0,3,4,0,0,63,32,2015,0,0,1,38,0,0,0,99
1,61,2,1,2130,101,2/8/16,8,2,2016,0,32.379475,-86.15707778,28,1,0,0,0,3,6,0,0,2,1,2012,0,0,1,0,0,0,0,0
1,61,2,2,2130,101,2/8/16,8,2,2016,0,32.379475,-86.15707778,998,0,0,0,0,3,6,0,0,2,1,2012,0,0,1,0,0,0,0,0
1,61,2,3,2130,101,2/8/16,8,2,2016,0,32.379475,-86.15707778,998,0,0,0,0,11,6,0,0,2,1,2012,0,0,1,0,0,0,0,0
1,61,3,1,2130,101,2/8/16,8,2,2016,0,32.379475,-86.15707778,25,2,0,0,0,3,4,0,0,41,50,2014,0,0,1,89,0,0,0,0
1,62,1,1,0,51,2/9/16,9,2,2016,0,32.63058056,-86.30070556,71,1,0,0,0,7,4,0,1,49,40,2009,0,0,1,28,0,0,0,0
1,63,4,1,1730,89,3/22/16,22,3,2016,0,34.73503889,-86.6273,52,20,0,0,0,3,14,0,0,52,402,2011,0,0,1,0,0,0,0,0
1,66,1,1,0,89,2/7/16,7,2,2016,0,34.93386389,-86.57180556,53,1,0,0,0,7,31,0,1,20,481,2008,0,0,1,0,0,0,0,99
1,67,1,1,0,97,2/9/16,9,2,2016,0,30.44338611,-88.35915833,83,8,0,0,0,7,4,0,1,49,40,2014,0,0,1,28,0,0,0,92
1,73,1,1,0,83,2/26/16,26,2,2016,0,34.85565833,-86.92801944,55,20,0,0,0,3,4,0,0,30,40,2015,0,0,1,0,0,0,0,0
1,77,1,1,0,35,2/16/16,16,2,2016,0,31.51423889,-86.70300278,26,8,0,0,0,1,31,0,0,20,481,2011,0,0,1,28,0,0,0,99
1,77,2,1,0,35,2/16/16,16,2,2016,0,31.51423889,-86.70300278,73,8,0,0,0,3,2,0,2,42,48,2014,0,0,1,0,0,0,0,0
1,77,2,2,0,35,2/16/16,16,2,2016,0,31.51423889,-86.70300278,55,8,0,0,0,3,2,0,2,42,48,2014,0,0,1,0,0,0,0,0
1,80,1,1,350,73,2/18/16,18,2,2016,0,33.46901111,-86.88743056,22,1,0,0,0,7,4,0,2,20,2,2014,0,0,1,0,0,0,0,99
1,80,1,2,350,73,2/18/16,18,2,2016,0,33.46901111,-86.88743056,18,1,0,0,0,7,4,0,2,20,2,2014,0,0,1,0,0,0,0,99
1,81,1,1,0,95,2/18/16,18,2,2016,0,34.36239444,-86.404,87,8,0,0,0,3,14,0,3,13,402,2015,0,0,1,38,0,0,0,99
