"","casenum","statenum","vehnum","persontotal","agemin","agemax","numfatal","day","month","year","date","modelyear","make","makename","cellphoneuse"
"1070",2562,6,1,1,51,51,0,16,7,2016,"07/2016",2011,12,"Ford",0
"1071",2578,6,1,1,34,34,0,26,9,2016,"09/2016",2008,12,"Ford",0
"1072",2585,6,1,1,43,43,0,29,8,2016,"08/2016",2010,12,"Ford",0
"1073",2619,6,1,1,57,57,0,8,11,2016,"11/2016",2015,12,"Ford",0
"1074",2675,6,1,1,69,69,1,28,10,2016,"10/2016",2016,12,"Ford",0
"1075",2717,6,1,1,30,30,0,14,10,2016,"10/2016",2014,12,"Ford",0
"1076",2732,6,1,1,46,46,0,20,11,2016,"11/2016",2008,12,"Ford",0
"1077",2751,6,1,1,38,38,0,24,10,2016,"10/2016",2013,12,"Ford",0
"1078",2793,6,1,1,50,50,0,20,12,2016,"12/2016",2016,12,"Ford",0
"1079",2983,6,1,1,25,25,1,14,11,2016,"11/2016",2011,12,"Ford",0
"1080",3002,6,2,1,58,58,0,25,11,2016,"11/2016",2014,12,"Ford",0
"1081",3017,6,1,1,22,22,0,19,10,2016,"10/2016",2011,12,"Ford",0
"1082",3128,6,1,1,45,45,0,3,7,2016,"07/2016",2013,12,"Ford",0
"1083",3138,6,2,1,24,24,0,8,7,2016,"07/2016",2016,12,"Ford",0
"1084",3164,6,1,1,54,54,0,29,9,2016,"09/2016",2012,12,"Ford",0
"1085",3184,6,1,1,54,54,0,25,2,2016,"02/2016",2015,12,"Ford",0
"1086",3281,6,1,1,22,22,0,31,5,2016,"05/2016",2014,12,"Ford",0
"1087",3342,6,1,1,73,73,0,3,3,2016,"03/2016",2014,12,"Ford",0
"1088",3354,6,1,1,92,92,0,29,4,2016,"04/2016",2013,12,"Ford",0
"1089",3441,6,1,1,43,43,0,27,12,2016,"12/2016",2011,12,"Ford",0
"1090",3447,6,1,1,45,45,0,1,6,2016,"06/2016",2013,12,"Ford",0
"1091",3449,6,1,1,33,33,0,27,6,2016,"06/2016",2015,12,"Ford",0
